class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,7.112700382534538e-05,0.0209801571255271,1.0881179911225542e-05,8.548941187966038e-06,0.0524518508400491,0.2111069134869663,0.0035596325484445
1,0.0004167569255891,0.0321688521749176,1.37262590623258e-05,8.32149313199814e-07,0.0285480125665892,0.2111069134869663,0.0035596325484445
1,0.000151215171894,0.0124935012419848,7.247464784908022e-05,3.589842811059571e-06,0.0418658653189455,0.2411786928598413,0.0033028864355371
0,1.150124033942646e-05,0.0170008231760152,0.0001666118281819,8.147573012093371e-05,0.0935664526704002,0.2375519455987911,0.0029678110000478
1,1.756790497180354e-05,0.0115713996880596,1.3326949707785412e-05,8.459971546796265e-05,0.0943177161589946,0.2546278806195693,0.0040774764032915
1,8.34834663050402e-05,0.0328006758708335,1.906702167930348e-05,1.0487273616736623e-05,0.0553203114328643,0.2557612391386475,0.0037554558548992
1,2.9944047919518644e-05,0.0222994050025995,1.342677704642051e-05,3.906351852798029e-05,0.0775167326867914,0.2557612391386475,0.0037554558548992
1,1.788327882298096e-05,0.0171639420021951,7.536964066949803e-06,7.378268784237298e-05,0.0911760688430542,0.2557612391386475,0.0037554558548992
0,5.477070386069059e-05,0.0358875859280226,0.0001953121880395,7.008140461834921e-05,0.0899467285889905,0.2694370986021911,0.0080461620807749
1,0.0001217488278069,0.0251480272659002,2.835096417236747e-05,2.808846474302336e-06,0.0392705914492555,0.1790706460143558,0.0032158538548905
1,1.714497968178252e-05,0.0122118161862399,6.468811543554268e-05,6.955525971779697e-05,0.0897418385466466,0.2386853041178692,0.0037206428226406
1,1.5099694381679267e-05,0.0277037721679856,7.99616982467125e-05,0.0003789814411109,0.1381641852205982,0.2855307895731016,0.0080200523065809
1,2.5236680980581217e-05,0.0227198746461787,7.242473417976268e-05,0.0001155207762814,0.1021718344488457,0.2692859841329807,0.0058398861613845
1,2.6673004718646443e-05,0.0186167754606897,5.390676286295223e-06,4.571431891152348e-05,0.0806583800027318,0.239667548167737,0.0039730373065156
0,8.67691600396956e-05,0.0259076598694471,0.0007508513275438,6.931228307969472e-06,0.0497199836087966,0.2367963732527389,0.0032158538548905
0,0.0001474057934868,0.0878307145745479,3.5438705215459334e-05,1.6158859879807586e-06,0.0340117470290943,0.1799773328296184,0.0024847801774594
0,0.00014600152358,0.0342732222286407,0.0002456251667116,5.112557306234204e-06,0.0459636661658243,0.2611258027956177,0.003646665129091
0,0.000124835018384,0.06777338108717,3.923214408359302e-05,2.704713629401372e-06,0.038929108045349,0.1882130714015867,0.0029460528548862
1,6.947730226112887e-05,0.0233630350644099,1.192936696689406e-05,3.822771543074887e-06,0.0426171288075399,0.1658481299584435,0.0025544062419766
1,4.452045738848912e-05,0.0110486107099532,1.3826086400960896e-05,4.570883823547607e-06,0.044597732550198,0.1417453721193804,0.0024499671452008
0,1.888163373144075e-05,0.0257126971289931,7.4870503976322544e-06,2.789116040531627e-05,0.0710968446933479,0.1758972421609369,0.003089656612953
1,3.929143576973869e-05,0.0214877823349315,1.2328676321434443e-05,1.5436324087556155e-05,0.0610572326184947,0.1907064601435587,0.0034856548548949
1,2.845643599743909e-05,0.0183871526774883,8.086014429442835e-06,2.312388569006948e-05,0.0678186040158448,0.1907064601435587,0.0034856548548949
1,6.0519043455948334e-05,0.0255906648951533,6.0894676567409e-06,8.863166614684738e-06,0.0529299276055183,0.1907064601435587,0.0034856548548949
0,0.0029721113546481,0.048767402229796,0.0002067424183132,1.6807406545418857e-07,0.0185766971725174,0.2177559501322251,0.0064012463065548
1,0.0001648914259185,0.0245761365605684,1.432522309413638e-05,1.7026633587315623e-06,0.0344898237945635,0.1732527389497544,0.003128821274244
1,3.657769537262837e-05,0.0153060192940904,1.3476690715738057e-05,1.5249981101943904e-05,0.0609206392569321,0.2023422742727616,0.0032115022258582
1,3.107122880495802e-05,0.0203844376408064,1.1080834588495736e-05,2.264158619789659e-05,0.0674088239311569,0.2253872308273517,0.0031418761613409
0,9.727345872687756e-06,0.0105677026168332,2.2211582846309025e-05,9.628817058509196e-05,0.0974593634749351,0.2306762372497166,0.0031418761613409
0,0.0051571285154063,0.3853041418751083,7.0178619060473e-05,3.197061027661195e-08,0.0116787324136046,0.2160181337363052,0.0038033237742548
0,0.0004693585785465,0.0547412050141528,0.0001986064902145,1.4094471901946356e-06,0.0327824067750307,0.2631658481299584,0.0042732997097463
